广东频道,#genre#
凤凰资讯,http://60.179.86.91:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://60.163.222.61:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://183.133.104.36:8899/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://125.121.121.7:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://115.230.209.201:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://115.230.183.55:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://36.25.232.51:8889/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://61.130.232.208:8889/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://124.230.56.162:55555/rtp/239.76.253.134:9000$1920x1080
凤凰资讯,http://124.230.56.141:55555/rtp/239.76.253.134:9000$1920x1080
凤凰资讯,http://183.148.141.101:8866/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://115.201.166.117:9999/rtp/233.50.200.192:5140$1920x1080
凤凰资讯,http://183.151.61.152:4022/rtp/233.50.200.192:5140$1920x1080
星空,http://171.213.130.95:4022/rtp/239.93.1.10:2193$1920x1080
星空,http://171.213.196.143:58888/rtp/239.93.1.10:2193$1920x1080
星空,http://171.213.130.146:8889/rtp/239.93.1.10:2193$1920x1080
星空,http://ayolee.com:5253/rtp/239.93.1.10:2193$1920x1080
星空,http://222.212.152.219:4443/rtp/239.93.1.10:2193$1920x1080
星空,http://182.138.120.226:8888/rtp/239.93.1.10:2193$1920x1080
星空,http://wouu.net:9977/rtp/239.93.1.10:2193$1920x1080
星空,http://171.213.129.5:58888/rtp/239.93.1.10:2193$1920x1080
凤凰香港,http://124.244.149.194:65531/bysid/85$1920x1080
凤凰香港,https://stream1.freetv.fun/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.ctv
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,https://ali.hlspull.yximgs.com/live/ab5eb9ad4c91db4f9cf10d5e460e7af0.flv$1280x720
